# origin=center, cell_size_um=20.0, domain_size_um=3000.0, description="Spheroid pattern with 8000 cells"
x,y,phenotype,gene_Proliferation,gene_glycoATP,gene_mitoATP
-35,-26,Proliferation,true,true,true
-19,-16,Proliferation,true,true,true
2,-24,Proliferation,true,false,true
36,-1,Proliferation,true,true,false
6,-26,Growth_Arrest,false,false,false
7,32,Proliferation,true,false,false
7,-33,Proliferation,true,true,true
-15,44,Growth_Arrest,false,true,false
21,43,Growth_Arrest,false,false,false
-50,2,Proliferation,true,false,true
13,-32,Growth_Arrest,false,false,true
36,3,Proliferation,true,true,false
38,-25,Proliferation,true,false,false
-11,10,Growth_Arrest,false,true,false
48,-8,Growth_Arrest,false,true,false
33,-22,Proliferation,true,false,false
15,-20,Proliferation,true,false,true
6,25,Growth_Arrest,false,false,true
-13,-49,Proliferation,true,false,true
22,-9,Proliferation,true,false,true
-6,0,Growth_Arrest,false,true,false
-15,-25,Proliferation,true,true,false
-15,-16,Proliferation,true,false,true
-15,-4,Proliferation,true,false,true
-13,35,Proliferation,true,false,false
11,0,Growth_Arrest,false,false,true
0,45,Proliferation,true,false,false
-14,-23,Proliferation,true,true,true
-1,38,Proliferation,true,false,false
12,-17,Growth_Arrest,false,true,false
-35,1,Growth_Arrest,false,true,true
15,44,Proliferation,true,false,true
-6,23,Proliferation,true,false,false
20,-13,Growth_Arrest,false,false,true
-43,-12,Growth_Arrest,false,false,false
42,17,Growth_Arrest,false,true,false
-26,-2,Growth_Arrest,false,false,false
-20,-39,Proliferation,true,true,false
13,-45,Proliferation,true,false,true
13,-30,Proliferation,true,false,false
2,-47,Proliferation,true,false,true
-5,42,Proliferation,true,false,false
-1,-50,Proliferation,true,false,true
2,-15,Growth_Arrest,false,true,false
-36,-10,Proliferation,true,false,true
-44,20,Proliferation,true,false,true
3,-50,Growth_Arrest,false,true,true
32,-38,Proliferation,true,true,true
-30,-31,Growth_Arrest,false,true,false
42,16,Proliferation,true,false,true
-2,36,Growth_Arrest,false,false,false
-4,16,Growth_Arrest,false,true,false
-47,10,Proliferation,true,true,true
35,14,Proliferation,true,true,false
-29,-34,Growth_Arrest,false,false,false
-5,40,Proliferation,true,false,true
34,26,Growth_Arrest,false,true,false
-14,-19,Proliferation,true,false,true
10,-46,Proliferation,true,false,false
-28,31,Proliferation,true,false,true
-2,-32,Growth_Arrest,false,true,true
18,26,Proliferation,true,true,true
-23,28,Proliferation,true,true,false
-35,9,Proliferation,true,false,true
