# origin=center, cell_size_um=20.0, domain_size_um=750.0, description="3D spheroid pattern with 500 cells"
x,y,z,phenotype,gene_Proliferation,gene_glycoATP,gene_mitoATP
0,0,0,Proliferation,true,false,true
-1,0,0,Proliferation,true,true,true
0,-1,0,Proliferation,true,false,false
0,0,-1,Proliferation,true,false,true
0,0,1,Proliferation,true,true,true
0,1,0,Proliferation,true,false,true
1,0,0,Proliferation,true,true,false
-1,-1,0,Proliferation,true,false,false
-1,0,-1,Proliferation,true,false,true
-1,0,1,Proliferation,true,false,false
-1,1,0,Proliferation,true,true,false
0,-1,-1,Proliferation,true,false,false
0,-1,1,Proliferation,true,false,true
0,1,-1,Proliferation,true,false,true
0,1,1,Proliferation,true,true,false
1,-1,0,Proliferation,true,true,false
1,0,-1,Proliferation,true,false,true
1,0,1,Proliferation,true,true,true
1,1,0,Proliferation,true,false,false
-1,-1,-1,Proliferation,true,true,false
-1,-1,1,Proliferation,true,false,false
-1,1,-1,Proliferation,true,false,true
-1,1,1,Proliferation,true,false,true
1,-1,-1,Proliferation,true,false,true
1,-1,1,Proliferation,true,true,false
1,1,-1,Proliferation,true,true,true
1,1,1,Proliferation,true,true,true
-2,0,0,Proliferation,true,true,true
0,-2,0,Proliferation,true,false,false
0,0,-2,Proliferation,true,false,false
0,0,2,Growth_Arrest,false,false,false
0,2,0,Growth_Arrest,false,true,false
2,0,0,Growth_Arrest,false,false,true
-2,-1,0,Growth_Arrest,false,false,true
-2,0,-1,Growth_Arrest,false,false,true
-2,0,1,Growth_Arrest,false,true,false
-2,1,0,Growth_Arrest,false,false,true
-1,-2,0,Growth_Arrest,false,true,true
-1,0,-2,Growth_Arrest,false,true,false
-1,0,2,Growth_Arrest,false,false,false
-1,2,0,Growth_Arrest,false,true,true
0,-2,-1,Growth_Arrest,false,false,false
0,-2,1,Growth_Arrest,false,false,false
0,-1,-2,Growth_Arrest,false,true,true
0,-1,2,Growth_Arrest,false,true,false
0,1,-2,Growth_Arrest,false,false,true
0,1,2,Growth_Arrest,false,true,true
0,2,-1,Growth_Arrest,false,true,false
0,2,1,Growth_Arrest,false,true,false
1,-2,0,Growth_Arrest,false,false,false
1,0,-2,Growth_Arrest,false,false,true
1,0,2,Growth_Arrest,false,false,true
1,2,0,Growth_Arrest,false,true,false
2,-1,0,Growth_Arrest,false,false,true
2,0,-1,Growth_Arrest,false,false,false
2,0,1,Growth_Arrest,false,false,false
2,1,0,Growth_Arrest,false,true,true
-2,-1,-1,Growth_Arrest,false,true,true
-2,-1,1,Growth_Arrest,false,true,false
-2,1,-1,Growth_Arrest,false,true,true
-2,1,1,Growth_Arrest,false,true,true
-1,-2,-1,Growth_Arrest,false,false,false
-1,-2,1,Growth_Arrest,false,false,false
-1,-1,-2,Growth_Arrest,false,true,true
-1,-1,2,Growth_Arrest,false,false,true
-1,1,-2,Growth_Arrest,false,false,false
-1,1,2,Growth_Arrest,false,false,false
-1,2,-1,Growth_Arrest,false,true,false
-1,2,1,Growth_Arrest,false,true,true
1,-2,-1,Growth_Arrest,false,false,true
1,-2,1,Growth_Arrest,false,true,false
1,-1,-2,Growth_Arrest,false,false,false
1,-1,2,Growth_Arrest,false,false,false
1,1,-2,Growth_Arrest,false,true,true
1,1,2,Growth_Arrest,false,false,false
1,2,-1,Growth_Arrest,false,true,false
1,2,1,Growth_Arrest,false,false,false
2,-1,-1,Growth_Arrest,false,true,false
2,-1,1,Growth_Arrest,false,true,true
2,1,-1,Growth_Arrest,false,false,true
2,1,1,Growth_Arrest,false,false,true
-2,-2,0,Growth_Arrest,false,true,true
-2,0,-2,Growth_Arrest,false,false,true
-2,0,2,Growth_Arrest,false,false,false
-2,2,0,Growth_Arrest,false,false,true
0,-2,-2,Growth_Arrest,false,true,false
0,-2,2,Growth_Arrest,false,true,false
0,2,-2,Growth_Arrest,false,true,false
0,2,2,Growth_Arrest,false,true,false
2,-2,0,Growth_Arrest,false,true,false
2,0,-2,Growth_Arrest,false,false,false
2,0,2,Growth_Arrest,false,true,true
2,2,0,Growth_Arrest,false,false,true
-3,0,0,Growth_Arrest,false,true,true
-2,-2,-1,Growth_Arrest,false,true,false
-2,-2,1,Growth_Arrest,false,false,true
-2,-1,-2,Growth_Arrest,false,true,true
-2,-1,2,Growth_Arrest,false,false,false
-2,1,-2,Growth_Arrest,false,true,true
-2,1,2,Growth_Arrest,false,true,true
-2,2,-1,Growth_Arrest,false,true,false
-2,2,1,Growth_Arrest,false,false,true
-1,-2,-2,Growth_Arrest,false,true,false
-1,-2,2,Growth_Arrest,false,false,true
-1,2,-2,Growth_Arrest,false,false,false
-1,2,2,Growth_Arrest,false,true,true
0,-3,0,Growth_Arrest,false,true,false
0,0,-3,Growth_Arrest,false,true,false
0,0,3,Growth_Arrest,false,false,true
0,3,0,Growth_Arrest,false,true,true
1,-2,-2,Growth_Arrest,false,true,true
1,-2,2,Growth_Arrest,false,false,false
1,2,-2,Growth_Arrest,false,false,false
1,2,2,Growth_Arrest,false,true,false
